Image1,Image2,label
UTSig_balanced_skilled_opposite/Genuine/61/8.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/8.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/8.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/14.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/14.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/14.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/15.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/15.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/15.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/17.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/17.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/17.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/12.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/12.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/12.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/21.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/21.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/21.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/22.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/22.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/22.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/23.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/23.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
UTSig_balanced_skilled_opposite/Genuine/61/23.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/1.png,1
UTSig_balanced_skilled_opposite/Genuine/61/4.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/2.png,1
UTSig_balanced_skilled_opposite/Genuine/61/4.png,UTSig_balanced_skilled_opposite/Forgery/Opposite Hand/61/3.png,1
